HeapEnqueue	HeapDequeue	ArrayEnqueue	ArrayDequeue
0.7013333333333334	0.14133333333333334	0.42166666666666663	0.18566666666666665
0.7013333333333334	0.14133333333333334	0.42166666666666663	0.18566666666666665
0.7013333333333334	0.14133333333333334	0.42166666666666663	0.18566666666666665
0.7013333333333334	0.155	0.549	0.19
0.947	0.137	0.478	0.162
0.758	0.126	0.379	0.179
0.399	0.161	0.408	0.216
0.407	0.156	0.424	0.251
0.375	0.149	0.378	0.257
0.41	0.154	0.41	0.273
0.381	0.151	0.376	0.271
0.397	0.161	0.412	0.295
0.399	0.157	0.428	0.302
0.84	0.16	0.426	0.318
0.413	0.154	0.467	0.339
1.247	0.158	0.45	0.35
1.117	0.154	0.409	0.369
1.141	0.154	0.431	0.38
0.846	0.202	0.442	0.389
0.794	0.161	0.405	0.515
0.401	0.158	0.41	0.407
0.368	0.157	0.401	0.43
0.376	0.149	0.418	0.436
0.428	0.16	0.376	0.447
0.674	0.157	0.404	0.475
0.45333333333333337	0.152	0.399	0.481
0.405	0.162	0.413	0.507
0.421	0.159	0.43	0.504
0.416	0.152	0.421	0.526
0.38	0.154	0.39	0.537
0.388	0.156	0.393	0.552
0.377	0.158	0.41	0.574
0.6655	0.153	0.415	0.574
0.768	0.162	0.42016666666666663	0.605
0.979	0.158	0.413	0.6
1.101	0.16	0.49	0.631
0.69	0.154	0.4	0.636
1.536	0.151	0.441	0.692
1.128	0.152	0.389	0.669
1.468	0.167	0.437	0.67
0.432	0.158	0.393	0.699
1.116	0.16	0.413	0.71
1.111	0.166	0.391	0.708
1.196	0.136	0.395	0.65
0.426	0.125	0.402	0.656
0.722	0.135	0.43	0.632
0.429	0.131	0.443	0.628
1.131	0.135	0.424	0.624
0.8478333333333333	0.172	0.602	0.614
0.451	0.137	0.407	0.616
0.7571388888888889	0.137	0.429	0.669
0.422	0.139	0.441	0.658
0.5393842592592593	0.142	0.422	0.693
0.491	0.137	0.42	0.661
0.422	0.135	0.387	0.673
0.6931666666666666	0.13	0.68	0.664
0.5495833333333334	0.127	0.409	0.861
0.442	0.126	0.421	0.867
0.454	0.172	0.411	0.783
0.7953333333333333	0.155	0.474	0.91
0.751	0.137	0.384	0.812
0.789	0.139	0.428	0.811
1.186	0.133	0.48	0.94
1.264	0.168	0.455	0.869
1.662	0.148	0.428	0.887
1.253	0.143	0.432	0.928
0.451	0.137	0.399	0.971
0.812	0.153	0.415	1.003
1.215	0.146	0.411	0.975
0.735	0.167	0.405	0.96
1.071	0.145	0.414	1.027
0.729	0.155	0.399	1.03
1.204	0.175	0.409	0.968
0.41	0.179	0.446	1.001
0.432	0.183	0.385	0.972
0.464	0.179	0.434	1.012
0.4873333333333334	0.149	0.412	1.044
0.419	0.156	0.41	1.021
0.411	0.179	0.471	1.176
0.788	0.177	0.385	1.06
0.393	0.138	0.403	1.157
0.631	0.121	0.418	1.148
0.371	0.183	0.409	1.054
0.723	0.172	0.403	1.14
1.1	0.137	0.424	1.184
0.419	0.151	0.406	1.22
0.384	0.139	0.357	1.139
1.1	0.14	0.407	1.259
0.434	0.15	0.418	1.22
0.735	0.151	0.41	1.297
0.415	0.155	0.408	1.2
0.533	0.139	0.401	1.265
0.371	0.151	0.402	1.277
0.825	0.164	0.414	1.28
0.418	0.227	0.488	1.384
0.815	0.179	0.424	1.3063333333333333
0.797	0.167	0.432	1.272
0.434	0.138	0.426	1.281
1.091	0.15	0.375	1.344
0.411	0.159	0.394	1.381
0.389	0.14	0.368	1.427
0.769	0.167	0.379	1.401
0.391	0.162	0.391	1.353
0.6583333333333333	0.141	0.4458333333333333	1.424
1.121	0.153	0.569	1.429
0.442	0.148	0.499	1.386
0.838	0.149	0.469	1.377
0.907	0.181	0.455	1.424
0.6836666666666668	0.154	0.559	1.396
1.001	0.16	0.499	1.498
0.467	0.159	0.49	1.475
0.447	0.203	0.483	1.555
0.473	0.146	0.432	1.752
0.462	0.146	0.524	1.641
0.792	0.153	0.451	1.526
0.439	0.139	0.463	1.478
1.169	0.15	0.392	1.52
0.969	0.157	0.429	1.417
1.167	0.15	0.474	1.327
0.83	0.161	0.464	1.335
0.421	0.153	0.476	1.399
0.457	0.158	0.438	1.485
0.781	0.19	0.443	1.609
0.848	0.181	0.423	1.727
0.501	0.262	0.432	1.575
0.858	0.264	0.419	1.685
1.381	0.326	0.458	1.739
0.8925000000000001	0.378	0.6126666666666667	1.741
0.898	0.5	0.5294444444444445	1.689
0.949	0.383	0.593	1.752
0.768	0.326	0.556	2.134
1.137	0.353	0.538	1.744
1.3511666666666666	0.352	0.665	1.968
0.817	0.4	0.54	1.99
1.146861111111111	0.432	0.575	1.818
1.444	0.267	0.591	1.925
1.657	0.303	0.601	1.892
0.475	0.408	0.569	1.828
0.464	0.347	0.621	1.855
0.846	0.39	0.543	1.84
0.502	0.4	0.795	1.87
0.7603333333333334	0.369	0.925	1.947
0.473	0.339	0.56	1.906
0.585	0.339	0.689	1.93
0.7365555555555555	0.36	0.656	1.969
0.467	0.393	0.605	1.922
0.6037592592592592	0.457	0.685	1.91
0.811	0.491	0.577	1.94
0.557	0.424	0.556	1.873
0.466	0.22	0.589	1.843
0.539	0.261	0.561	2.204
0.49333333333333335	0.299	0.653	2.205
0.478	0.338	0.575	2.227
0.441	0.426	0.6	2.259
0.479	0.403	0.548	2.414
1.347	0.305	0.595	2.32
0.9566666666666667	0.354	0.621	1.942
1.257	0.367	0.567	1.972
0.921	0.35	0.558	2.004
1.295	0.418	0.615	2.064166666666667
0.875	0.458	0.585	2.277
0.876	0.307	0.581	2.054
1.256	0.293	0.602	2.136
1.301	0.355	0.552	2.131
0.53	0.38	0.574	2.149
0.838	0.392	0.59	2.047
0.536	0.459	0.577	2.297
0.46	0.337	0.558	1.97
0.527	0.398	0.574	2.032
0.455	0.179	0.555	2.23
0.522	0.296	0.549	2.666
0.859	0.337	0.63	2.583
0.472	0.385	0.559	2.669
1.277	0.34	0.58	2.599
0.411	0.47	0.552	2.605
0.955	0.447	0.693	2.379
1.269	0.351	0.573	2.327
0.597	0.306	0.57	1.929
0.446	0.399	0.57	2.127
0.803	0.373	0.503	2.358
0.375	0.354	0.499	2.131
0.36	0.417	0.573	2.203
0.412	0.357	0.497	2.074
0.788	0.247	0.541	2.183
0.421	0.34	0.537	1.991
0.449	0.379	0.554	2.242
0.896	0.436	0.562	2.27
0.652	0.54	0.559	2.372
0.854	0.505	0.578	3.191
0.528	0.474	0.567	2.897
0.764	0.462	0.56	3.048
1.112	0.533	0.683	2.95
0.93	0.406	0.59	2.989
0.471	0.428	0.594	2.988
2.134	0.511	0.555	2.968
1.198	0.443	0.593	3.02
1.404333333333333	0.474	0.6135	2.963
1.92	0.403	0.811	3.053
1.557	0.49	0.588	3.091
1.146	0.463	0.54	3.028
0.421	0.516	0.544	2.997
0.823	0.464	0.539	3.154
1.132	0.446	0.529	3.069
0.474	0.46	0.501	3.085
0.771	0.488	0.526	4.562
0.418	0.597	0.522	3.214
1.123	0.468	0.548	3.171
0.7825000000000001	0.45	0.551	3.213
1.18	0.466	0.559	3.175
0.458	0.466	0.55	3.164
0.745	0.571	0.568	3.146
1.144	0.478	0.558	3.184
0.491	0.48	0.612	3.111
0.7868333333333334	0.49	0.519	2.978
0.416	0.51	0.54	3.104
0.811	0.448	0.576	3.275
0.5549722222222223	0.486	0.517	3.266
0.435	0.479	0.552	3.285
0.459	0.396	0.554	3.427
0.422	0.511	0.556	3.289
0.793	0.479	0.527	3.19
1.175	0.517	0.554	3.209
0.434	0.456	0.57	3.207
1.208	0.429	0.561	3.336
0.735	0.443	0.508	3.381
0.6649999999999999	0.48	0.537	3.378
0.427	0.516	0.532	3.15
0.761	0.508	0.521	3.311
0.425	0.409	0.574	3.32
1.068	0.412	0.533	2.879
1.0043333333333333	0.181	0.539	2.877
1.512	0.488	0.547	2.789
1.479	0.427	0.557	2.784
0.781	0.369	0.539	2.696
0.431	0.465	0.527	2.628
0.435	0.547	0.553	2.769
1.182	0.4805	0.54	2.8
0.788	0.57	0.571	3.363
0.448	0.423	0.569	3.469
0.771	0.509	0.531	3.277
1.529	0.493	0.547	3.745
1.481	0.46	0.549	4.604
0.423	0.479	0.552	3.686
1.227	0.524	0.552	3.604
1.17	0.208	0.57	3.476
1.235	0.416	0.552	3.679
0.42	0.216	0.557	3.68
0.449	0.464	0.549	3.633
0.776	0.605	0.586	3.791
1.218	0.548	0.551	3.683
0.887	0.615	0.555	3.789
0.439	0.545	0.58	3.84
0.804	0.47	0.536	3.932
0.412	0.513	0.573	3.848
0.418	0.5	0.548	3.721
0.6733333333333333	0.52	0.565	3.826
