Russell Martin	34	C	Vet	$20,000,000	-	-	$20,000,000	$20,000,000	11.39	16,400,000
Jose Bautista	36	RF	Vet	$18,000,000	-	-	$18,000,000	$18,000,000	10.25	18,500,000
Josh Donaldson	31	3B	Arb 3	$17,000,000	-	-	$17,000,000	$17,000,000	9.68	14,325,000
Marco Estrada	33	SP	Vet	$14,000,000	$500,000	-	$14,500,000	$14,500,000	8.26	13,000,000
J.A. Happ	34	SP	Vet	$13,000,000	-	-	$13,000,000	$13,000,000	7.40	12,000,000
Kendrys Morales	34	DH	Vet	$10,000,000	-	-	$10,000,000	$10,000,000	5.69	11,000,000
Miguel Montero	33	C	Vet	$14,000,000	-	-	$14,000,000	$6,961,773	3.96	12,000,000
Steven Pearce	34	LF	Vet	$6,250,000	-	-	$6,250,000	$6,250,000	3.56	6,250,000
Justin Smoak	30	1B	Vet	$4,125,000	-	-	$4,125,000	$4,125,000	2.35	4,250,000
Marcus Stroman	26	SP	Arb 1	$3,400,000	-	-	$3,400,000	$3,400,000	1.94	3,400,000
Darwin Barney	31	SS	Arb 4	$2,887,500	-	-	$2,887,500	$2,887,500	1.64	2,887,500
Tom Koehler	31	RP	Arb 2	$5,750,000	-	-	$5,750,000	$1,351,103	0.77	5,750,000
Ezequiel Carrera	30	CF	Arb 1	$1,162,500	-	-	$1,162,500	$1,162,500	0.66	1,162,500
Aaron Loup	29	RP	Arb 2	$1,125,000	-	-	$1,125,000	$1,125,000	0.64	1,125,000
Kevin Pillar 	28	CF	Pre-Arb	$555,000	-	-	$555,000	$555,000	0.32	555,000
Roberto Osuna 	22	RP/CL	Pre-Arb	$552,400	-	-	$552,400	$552,400	0.31	552,400
Ryan Goins 	29	2B	Pre-Arb	$548,200	-	-	$548,200	$548,200	0.31	548,200
Ryan Tepera 	29	RP	Pre-Arb	$542,700	-	-	$542,700	$542,700	0.31	542,700
Dominic Leone 	25	RP	Pre-Arb	$548,200	-	-	$548,200	$482,356	0.27	548,200
Danny Barnes 	27	RP	Pre-Arb	$535,000	-	-	$535,000	$473,526	0.27	535,000
Joseph Biagini 	27	SP	Pre-Arb	$535,000	-	-	$535,000	$464,757	0.26	535,000
Luke Maile 	26	C	Pre-Arb	$535,000	-	-	$535,000	$458,911	0.26	535,000
Leonel Campos 	29	RP	Pre-Arb	$535,000	-	-	$535,000	$201,687	0.11	535,000
Matt Dermody 	26	RP	Pre-Arb	$535,000	-	-	$535,000	$195,841	0.11	535,000
Rob Refsnyder 	26	2B	Pre-Arb	$535,000	-	-	$535,000	$189,995	0.11	535,000
Raffy Lopez 	29	C	Pre-Arb	$535,000	-	-	$535,000	$172,457	0.10	535,000
Tim Mayza 	25	RP	Pre-Arb	$535,000	-	-	$535,000	$134,458	0.08	535,000
Chris Rowley 	26	P	Pre-Arb	$535,000	-	-	$535,000	$122,766	0.07	535,000
Brett Anderson 	29	SP	Vet	$535,000	-	-	$535,000	$99,382	0.06	535,000
Carlos Ramirez 	26	RP	Pre-Arb	$535,000	-	-	$535,000	$93,536	0.05	535,000
Michael Saunders 	30	LF	Vet	$535,000	-	-	$535,000	$93,536	0.05	535,000
Teoscar Hernandez 	24	CF	Pre-Arb	$535,000	-	-	$535,000	$90,613	0.05	535,000
Richard Urena 	21	SS	Pre-Arb	$535,000	-	-	$535,000	$90,613	0.05	535,000
Luis Santos 	26	RP	Pre-Arb	$535,000	-	-	$535,000	$87,690	0.05	535,000
Taylor Cole 	27	RP	Pre-Arb	$535,000	-	-	$535,000	$8,769	0.00	535,000
Troy Tulowitzki	32	SS	Vet	$20,000,000	-	-	$20,000,000	$20,000,000	11.39	15,775,000
Devon Travis	26	2B	Pre-Arb	$545,200	-	-	$545,200	$545,200	0.31	545,200
Bo Schultz	31	RP	Pre-Arb	$543,000	-	-	$543,000	$543,000	0.31	543,000
Dalton Pompey	24	CF	Pre-Arb	$539,000	-	-	$539,000	$539,000	0.31	539,000
Aaron Sanchez	24	SP	Pre-Arb	$535,000	-	-	$535,000	$535,000	0.30	535,000
Darrell Ceciliani	27	CF	Pre-Arb	$535,000	-	-	$535,000	$406,297	0.23	535,000
Cesar Valdez	32	SP	Pre-Arb	$535,000	-	-	$535,000	$242,609	0.14	535,000
Francisco Liriano	33	RP	$8,524,606	-	-	$8,524,606	$8,524,606	4.85	8,524,606
Melvin Upton	32	LF	$5,000,000	-	-	$5,000,000	$5,000,000	2.85	5,000,000
J.P. Howell	34	RP	$3,000,000	-	-	$3,000,000	$3,000,000	1.71	3,000,000
Joe Smith	33	RP	$1,967,241	-	-	$1,967,241	$1,967,241	1.12	1,967,241
Norichika Aoki	35	LF	$5,500,000	-	-	$5,500,000	$1,893,465	1.08	5,500,000
Jason Grilli	40	RP	$1,491,844	-	-	$1,491,844	$1,491,844	0.85	1,491,844
Jarrod Saltalamacchia	32	C	$1,250,000	-	-	$1,250,000	$1,250,000	0.71	1,250,000
Chris Coghlan	32	LF	$350,760	-	-	$350,760	$350,760	0.20	350,760
Glenn Sparkman	25	P	$265,993	-	-	$265,993	$265,993	0.15	265,993
Casey Lawrence	29	P	$26,307	-	-	$26,307	$26,307	0.01	26,307
Ty Kelly	28	3B	$11,744	-	-	$11,744	$11,744	0.01	11,744
Mat Latos 		29	SP	$1,500,000	-	-	$1,500,000	$1,500,000	1,500,000
Lourdes Gurriel Jr.		23	2B	$600,000	$428,571	-	$1,028,571	$1,028,571	3,142,857
Nick Tepesch 		28	SP	$1,000,000	-	-	$1,000,000	$1,000,000	1,000,000
Mike Bolsinger 		29	RP	$545,700	-	-	$545,700	$166,992	545,700
Anthony Alford 		22	OF	$535,000	-	-	$535,000	$397,528	535,000
Jeff Beliveau 		30	RP	$535,000	-	-	$535,000	$134,458	535,000
Lucas Harrell 		32	RP	$535,000	-	-	$535,000	$49,691	535,000
T.J. House 		27	RP	$535,000	-	-	$535,000	$23,384	535,000
Brett Oberholtzer 		28	RP	$535,000	-	-	$535,000	$2,923	535,000
Michael Ohlman 		26	C	$535,000	-	-	$535,000	$184,149	535,000
Ian Parmley 		27	OF	$535,000	-	-	$535,000	$20,461	535,000
Neil Ramirez 		28	RP	$535,000	-	-	$535,000	$14,615	535,000
Chris Smith 		28	P	$535,000	-	-	$535,000	$35,076	535,000
Dwight Smith Jr. 		24	OF	$535,000	-	-	$535,000	$46,768	535,000
