Giancarlo Stanton	28	DH	Vet	$25,000,000	-	-	$25,000,000	$25,000,000	13.88	25,000,000
Masahiro Tanaka 	29	SP	Vet	$22,000,000	-	-	$22,000,000	$22,000,000	12.22	22,142,857
Aroldis Chapman 	30	RP/CL	Vet	$15,000,000	$2,200,000	-	$17,200,000	$17,200,000	9.55	17,200,000
David Robertson	33	RP	Vet	$13,000,000	-	-	$13,000,000	$13,000,000	7.22	11,500,000
Brett Gardner	34	LF	Vet	$11,000,000	$500,000	-	$11,500,000	$11,500,000	6.39	13,000,000
C.C. Sabathia	37	SP	Vet	$10,000,000	-	$500,000	$10,500,000	$10,500,000	5.83	10,000,000
Didi Gregorius	28	SS	Arb 3	$8,500,000	-	-	$8,500,000	$8,500,000	4.72	8,500,000
Sonny Gray	28	SP	Arb 2	$6,500,000	-	-	$6,500,000	$6,500,000	3.61	6,500,000
Dellin Betances	30	RP	Arb 2	$5,100,000	-	-	$5,100,000	$5,100,000	2.83	5,100,000
J.A. Happ	35	SP	Vet	$13,000,000	-	-	$13,000,000	$4,612,872	2.56	12,000,000
Zack Britton	30	RP	Arb 3	$12,000,000	-	-	$12,000,000	$4,387,088	2.44	12,000,000
Neil Walker	32	2B	Vet	$4,000,000	-	-	$4,000,000	$4,000,000	2.22	4,000,000
Aaron Hicks	28	CF	Arb 2	$2,825,000	-	-	$2,825,000	$2,825,000	1.57	2,825,000
Lance Lynn	31	SP	Vet	$12,000,000	-	-	$12,000,000	$1,999,996	1.11	12,000,000
Tommy Kahnle	28	RP	Arb 1	$1,312,500	-	-	$1,312,500	$1,312,500	0.73	1,312,500
Andrew McCutchen	31	RF	Vet	$14,750,000	-	-	$14,750,000	$1,229,165	0.68	8,583,333
Austin Romine	29	C	Arb 2	$1,100,000	-	-	$1,100,000	$1,100,000	0.61	1,100,000
Aaron Judge	26	RF	Pre-Arb	$622,300	-	-	$622,300	$622,300	0.35	622,300
Gary Sanchez 	25	C	Pre-Arb	$620,400	-	-	$620,400	$620,400	0.34	620,400
Luis Severino 	24	SP	Pre-Arb	$604,975	-	-	$604,975	$604,975	0.34	604,975
Greg Bird 	25	1B	Pre-Arb	$582,000	-	-	$582,000	$582,000	0.32	582,000
Chad Green 	27	RP	Pre-Arb	$570,800	-	-	$570,800	$570,800	0.32	570,800
Miguel Andujar 	23	3B	Pre-Arb	$545,800	-	-	$545,800	$539,856	0.30	545,800
Jonathan Holder 	25	RP	Pre-Arb	$553,850	-	-	$553,850	$512,216	0.28	553,850
A.J. Cole 	26	RP	Pre-Arb	$555,300	-	-	$555,300	$480,585	0.27	555,300
Gleyber Torres 	21	SS	Pre-Arb	$545,000	-	-	$545,000	$474,660	0.26	545,000
Ronald Torreyes 	25	2B	Pre-Arb	$615,500	-	-	$615,500	$387,153	0.21	615,500
Domingo German 	25	SP	Pre-Arb	$548,225	-	-	$548,225	$347,746	0.19	548,225
Luis Cessa 	26	RP	Pre-Arb	$568,925	-	-	$568,925	$315,077	0.17	568,925
Kyle Higashioka 	28	C	Pre-Arb	$545,000	-	-	$545,000	$272,490	0.15	545,000
Tyler Wade 	23	1B	Pre-Arb	$551,300	-	-	$551,300	$237,120	0.13	551,300
Luke Voit 	27	1B	Pre-Arb	$545,000	-	-	$545,000	$164,080	0.09	545,000
Jonathan Loaisiga 	23	RP	Pre-Arb	$545,000	-	-	$545,000	$137,710	0.08	545,000
Adeiny Hechavarria	29	SS	Arb 3	$5,900,000	-	-	$5,900,000	$87,900	0.05	5,900,000
Caleb Frare 	24	RP	Pre-Arb	$545,000	-	-	$545,000	$87,900	0.05	545,000
Stephen Tarpley 	25	RP	Pre-Arb	$545,000	-	-	$545,000	$87,900	0.05	545,000
Chance Adams 	23	SP	Pre-Arb	$545,000	-	-	$545,000	$73,250	0.04	545,000
Justus Sheffield 	22	RP	Pre-Arb	$545,000	-	-	$545,000	$38,090	0.02	545,000
Jacoby Ellsbury
(60-day, Oblique)	34	CF	Vet	$21,142,857	-	-	$21,142,857	$21,142,857	11.74	21,857,143
Jordan Montgomery
(60-day, Elbow)	25	SP	Pre-Arb	$580,450	-	-	$580,450	$580,450	0.32	580,450
Ben Heller
(60-day, Elbow)	26	RP	Pre-Arb	$547,475	-	-	$547,475	$547,475	0.30	547,475
Clint Frazier
(60-day, Concussion)	23	OF	Pre-Arb	$559,200	-	-	$559,200	$297,594	0.17	559,200
Brian McCann	34	C	$5,500,000	-	-	$5,500,000	$5,500,000	3.05	5,500,000
Adam Warren	30	RP	$2,209,974	-	-	$2,209,974	$2,209,974	1.23	2,209,974
Chasen Shreve	27	RP	$541,160	-	-	$541,160	$541,160	0.30	541,160
Chase Headley	34	3B	$500,000	-	-	$500,000	$500,000	0.28	500,000
Tyler Austin	26	1B	$234,234	-	-	$234,234	$234,234	0.13	234,234
Billy McKinney	23	OF	$161,150	-	-	$161,150	$161,150	0.09	161,150
Giovanny Gallegos	26	RP/CL	$41,398	-	-	$41,398	$41,398	0.02	41,398
Jace Peterson	28	LF	$32,230	-	-	$32,230	$32,230	0.02	32,230
