Robinson Cano 	36	2B	Vet	$24,000,000	-	-	$24,000,000	$19,000,000	12.94	19,000,000
Jacob deGrom 	31	SP	Arb 3	$7,000,000	$2,500,000	-	$9,500,000	$9,500,000	6.47	27,500,000
Todd Frazier	33	3B	Vet	$9,000,000	-	-	$9,000,000	$9,000,000	6.13	8,500,000
Juan Lagares	30	CF	Arb 4	$9,000,000	-	-	$9,000,000	$9,000,000	6.13	4,710,739
Jed Lowrie	35	2B	Vet	$6,000,000	$2,500,000	-	$8,500,000	$8,500,000	5.79	10,000,000
Wilson Ramos	31	C	Vet	$6,250,000	$1,000,000	$500,000	$7,750,000	$7,750,000	5.28	9,500,000
Jeurys Familia	29	RP	Vet	$6,000,000	$666,667	-	$6,666,666	$6,666,666	4.54	10,000,000
Noah Syndergaard	26	SP	Arb 2	$6,000,000	-	-	$6,000,000	$6,000,000	4.09	6,000,000
Zack Wheeler	29	SP	Arb 3	$5,975,000	-	-	$5,975,000	$5,975,000	4.07	5,975,000
Justin Wilson	31	RP	Vet	$5,000,000	-	-	$5,000,000	$5,000,000	3.41	5,000,000
Michael Conforto	26	RF	Arb 1	$4,025,000	-	-	$4,025,000	$4,025,000	2.74	4,025,000
Steven Matz	28	SP	Arb 1	$2,625,000	-	-	$2,625,000	$2,625,000	1.79	2,625,000
Marcus Stroman	28	SP	Arb 3	$7,400,000	-	-	$7,400,000	$2,546,240	1.73	2,546,240
Luis Avilan 	29	RP	Arb 4	$1,600,000	-	-	$1,600,000	$1,600,000	1.09	1,600,000
Edwin Diaz 	25	RP/CL	Pre-Arb	$607,425	-	-	$607,425	$607,425	0.41	607,425
Brandon Nimmo 	26	CF	Pre-Arb	$598,285	-	-	$598,285	$598,285	0.41	598,285
Seth Lugo 	29	RP	Pre-Arb	$591,875	-	-	$591,875	$591,875	0.40	591,875
Amed Rosario 	23	SS	Pre-Arb	$575,500	-	-	$575,500	$575,500	0.39	575,500
J.D. Davis 	26	3B	Pre-Arb	$561,420	-	-	$561,420	$561,420	0.38	561,420
Pete Alonso 	24	1B	Pre-Arb	$555,000	-	-	$555,000	$555,000	0.38	555,000
Franklyn Kilome 	24	P	Pre-Arb	$555,000	-	-	$555,000	$555,000	0.38	150,000
Dominic Smith 	24	1B	Pre-Arb	$559,320	-	-	$559,320	$541,260	0.37	541,260
Tomas Nido 	25	C	Pre-Arb	$556,300	-	-	$556,300	$496,506	0.34	496,506
