Giancarlo Stanton	29	DH	Vet	$26,000,000	-	-	$26,000,000	$26,000,000	11.66	22,000,000
Masahiro Tanaka 	30	SP	Vet	$22,000,000	-	-	$22,000,000	$22,000,000	9.86	22,142,857
Aroldis Chapman 	31	RP/CL	Vet	$15,000,000	$2,200,000	-	$17,200,000	$17,200,000	7.71	17,200,000
J.A. Happ	36	SP	Vet	$17,000,000	-	-	$17,000,000	$17,000,000	7.62	17,000,000
Zack Britton	31	RP	Vet	$13,000,000	-	-	$13,000,000	$13,000,000	5.83	13,000,000
D.J. LeMahieu	30	2B	Vet	$12,000,000	-	-	$12,000,000	$12,000,000	5.38	12,000,000
Didi Gregorius	29	SS	Arb 4	$11,750,000	-	-	$11,750,000	$11,750,000	5.27	11,750,000
Adam Ottavino	33	RP	Vet	$8,000,000	$1,000,000	-	$9,000,000	$9,000,000	4.04	9,000,000
James Paxton	30	SP	Arb 3	$8,575,000	-	-	$8,575,000	$8,575,000	3.84	8,575,000
Edwin Encarnacion	36	DH	Vet	$20,000,000	$1,666,668	-	$21,666,668	$8,000,000	3.59	3,000,000
C.C. Sabathia	38	SP	Vet	$8,000,000	-	-	$8,000,000	$8,000,000	3.59	8,000,000
Brett Gardner	35	LF	Vet	$7,500,000	-	-	$7,500,000	$7,500,000	3.36	7,500,000
Luis Severino 	25	SP	Arb 1	$4,000,000	$500,000	-	$4,500,000	$4,500,000	2.02	10,000,000
Austin Romine	30	C	Arb 3	$1,800,000	-	-	$1,800,000	$1,800,000	0.81	1,800,000
Tommy Kahnle	29	RP	Arb 2	$1,387,500	-	-	$1,387,500	$1,387,500	0.62	1,387,500
Aaron Judge 	27	RF	Pre-Arb	$684,300	-	-	$684,300	$684,300	0.31	684,300
Gary Sanchez 	26	C	Pre-Arb	$669,800	-	-	$669,800	$669,800	0.30	669,800
Gleyber Torres 	22	SS	Pre-Arb	$605,200	-	-	$605,200	$605,200	0.27	605,200
Jordan Montgomery 	26	SP	Pre-Arb	$596,600	-	-	$596,600	$596,600	0.27	596,600
Luis Cessa	27	RP	Pre-Arb	$578,975	-	-	$578,975	$578,975	0.26	578,975
Luke Voit 	28	1B	Pre-Arb	$573,200	-	-	$573,200	$573,200	0.26	573,200
Ben Heller 	27	RP	Pre-Arb	$555,000	-	-	$555,000	$555,000	0.25	555,000
Chad Green 	28	RP	Pre-Arb	$598,650	-	-	$598,650	$540,792	0.24	540,792
Giovanny Urshela 	27	3B	Pre-Arb	$555,000	-	-	$555,000	$528,168	0.24	528,168
Cameron Maybin 	32	RF	Vet	$555,000	-	-	$555,000	$471,472	0.21	471,472
Jonathan Loaisiga 	24	RP	Pre-Arb	$560,550	-	-	$560,550	$443,058	0.20	443,058
Nestor Cortes 	24	RP	Pre-Arb	$555,000	-	-	$555,000	$364,048	0.16	364,048
Clint Frazier 	24	OF	Pre-Arb	$563,300	-	-	$563,300	$320,968	0.14	320,968
Stephen Tarpley 	26	RP	Pre-Arb	$557,250	-	-	$557,250	$296,604	0.13	296,604
Thairo Estrada 	23	2B	Pre-Arb	$555,000	-	-	$555,000	$292,432	0.13	292,432
Cory Gearrin	33	RP	Arb 4	$1,400,000	-	-	$1,400,000	$278,499	0.12	278,499
Tyler Wade 	24	2B	Pre-Arb	$572,000	-	-	$572,000	$261,375	0.12	261,375
Mike Ford 	26	1B	Pre-Arb	$555,000	-	-	$555,000	$238,720	0.11	238,720
Kyle Higashioka 	29	C	Pre-Arb	$562,900	-	-	$562,900	$154,326	0.07	154,326
Chance Adams 	24	RP	Pre-Arb	$556,725	-	-	$556,725	$149,650	0.07	149,650
Tyler Lyons 	31	RP	Arb 2	$555,000	-	-	$555,000	$86,536	0.04	86,536
Michael King 	24	P	Pre-Arb	$555,000	-	-	$555,000	$32,824	0.01	32,824
Jacoby Ellsbury
(60-day, Foot)	35	CF	Vet	$21,142,857	-	-	$21,142,857	$21,142,857	9.48	21,857,143
Dellin Betances
(60-day, Knee-acl)	31	RP	Arb 3	$7,250,000	-	-	$7,250,000	$7,250,000	3.25	7,250,000
Aaron Hicks
(60-day, Arm)	29	CF	Arb 3	$6,000,000	$285,714	-	$6,285,714	$6,285,714	2.82	10,000,000
Greg Bird
(60-day, Foot)	26	1B	Arb 1	$1,200,000	-	-	$1,200,000	$1,200,000	0.54	1,200,000
Miguel Andujar
(60-day, Shoulder)	24	3B	Pre-Arb	$617,600	-	-	$617,600	$617,600	0.28	617,600
Jonathan Holder
(60-day, Shoulder)	26	RP	Pre-Arb	$580,300	-	-	$580,300	$474,240	0.21	474,240
Mike Tauchman
(10-day, Calf)	28	CF	Pre-Arb	$557,000	-	-	$557,000	$443,260	0.20	443,260
Jake Barrett
(60-day, Elbow)	27	RP	Pre-Arb	$555,000	-	-	$555,000	$411,792	0.18	411,792
Domingo German	26	SP	Pre-Arb	$577,500	-	-	$577,500	$577,500	0.26	577,500
Alex Rodriguez	44	DH	$4,000,000	-	-	$4,000,000	$4,000,000
Albert Abreu		23	P	$555,000	-	-	$555,000	$555,000	150,000
Terrance Gore		28	CF	$650,000	-	-	$650,000	$650,000	350,000
David Hale 		31	RP	$555,000	-	-	$555,000	$393,888	393,888
Brady Lail 		25	P	$555,000	-	-	$555,000	$5,968	5,968
Joe Mantiply 		28	RP	$555,000	-	-	$555,000	$5,968	5,968
Adonis Rosa 		24	P	$555,000	-	-	$555,000	$2,984	2,984
Troy Tulowitzki	34	SS	$355,081	-	-	$355,081	$355,081	0.16	355,081
Kendrys Morales	36	DH	$149,194	-	-	$149,194	$149,194	0.07	149,194
Joe Harvey	27	RP	$107,424	-	-	$107,424	$107,424	0.05	107,424
Breyvic Valera	27	2B	$83,552	-	-	$83,552	$83,552	0.04	83,552
Ryan Dull	29	RP	$73,984	-	-	$73,984	$73,984	0.03	73,984
