Asdrubal Cabrera	31	2B	Vet	$8,250,000	-	-	$8,250,000	$8,250,000	5.73	9,250,000
Jeurys Familia	27	RP	Arb 2	$7,425,000	-	-	$7,425,000	$7,425,000	5.16	7,425,000
Jerry Blevins	33	RP	Vet	$5,500,000	-	-	$5,500,000	$5,500,000	3.82	6,500,000
Matt Harvey	28	SP	Arb 2	$5,125,000	-	-	$5,125,000	$5,125,000	3.56	5,125,000
Juan Lagares	28	CF	Arb 2	$4,500,000	-	-	$4,500,000	$4,500,000	3.13	4,710,739
Jacob deGrom	29	SP	Arb 1	$4,050,000	-	-	$4,050,000	$4,050,000	2.81	4,050,000
A.J. Ramos	30	RP	Arb 2	$6,550,000	-	-	$6,550,000	$2,326,480	1.62	6,550,000
Wilmer Flores	25	SS	Arb 1	$2,200,000	-	-	$2,200,000	$2,200,000	1.53	2,200,000
Travis d'Arnaud	28	C	Arb 1	$1,875,000	-	-	$1,875,000	$1,875,000	1.30	1,875,000
Tom Milone	30	RP	Arb 2	$1,250,000	-	-	$1,250,000	$1,017,746	0.71	1,250,000
Noah Syndergaard	24	SP	Pre-Arb	$605,500	-	-	$605,500	$605,500	0.42	605,500
Seth Lugo 	27	SP	Pre-Arb	$543,500	-	-	$543,500	$543,500	0.38	543,500
Jose Reyes	34	3B	Vet	$535,000	-	-	$535,000	$535,000	0.37	535,000
Josh Smoker 	28	RP	Pre-Arb	$536,625	-	-	$536,625	$495,508	0.34	536,625
Paul Sewald 	27	RP	Pre-Arb	$535,000	-	-	$535,000	$464,757	0.32	535,000
Brandon Nimmo 	24	LF	Pre-Arb	$536,240	-	-	$536,240	$442,430	0.31	536,240
Rafael Montero 	26	RP/CL	Pre-Arb	$541,400	-	-	$541,400	$440,742	0.31	541,400
Hansel Robles 	26	RP	Pre-Arb	$553,125	-	-	$553,125	$383,921	0.27	553,125
Matt Reynolds 	26	SS	Pre-Arb	$535,000	-	-	$535,000	$379,990	0.26	535,000
Erik Goeddel 	28	RP	Pre-Arb	$535,000	-	-	$535,000	$301,069	0.21	535,000
Chasen Bradford 	27	RP	Pre-Arb	$535,000	-	-	$535,000	$251,378	0.17	535,000
Kevin Plawecki 	26	C	Pre-Arb	$535,000	-	-	$535,000	$227,994	0.16	535,000
Chris Flexen 	23	SP	Pre-Arb	$535,000	-	-	$535,000	$198,764	0.14	535,000
Amed Rosario 	21	SS	Pre-Arb	$535,000	-	-	$535,000	$181,226	0.13	535,000
Gavin Cecchini 	23	SS	Pre-Arb	$535,000	-	-	$535,000	$157,842	0.11	535,000
Dominic Smith 	22	1B	Pre-Arb	$535,000	-	-	$535,000	$151,996	0.11	535,000
Travis Taijeron 	28	RF	Pre-Arb	$535,000	-	-	$535,000	$108,151	0.08	535,000
Kevin McGowan 	25	RP	Pre-Arb	$535,000	-	-	$535,000	$105,228	0.07	535,000
Robert Gsellman 	23	RP	Pre-Arb	$541,750	-	-	$541,750	$94,720	0.07	541,750
Jamie Callahan 	22	P	Pre-Arb	$535,000	-	-	$535,000	$90,613	0.06	535,000
Jacob Rhame 	24	RP	Pre-Arb	$535,000	-	-	$535,000	$90,613	0.06	535,000
Norichika Aoki	35	LF	Arb 3	$535,000	-	-	$535,000	$87,690	0.06	535,000
Phillip Evans 	24	3B	Pre-Arb	$535,000	-	-	$535,000	$70,152	0.05	535,000
Tomas Nido 	23	C	Pre-Arb	$535,000	-	-	$535,000	$58,460	0.04	535,000
Yoenis Cespedes	31	CF	Vet	$22,500,000	-	-	$22,500,000	$22,500,000	15.63	27,500,000
David Wright	34	3B	Vet	$20,000,000	-	-	$20,000,000	$20,000,000	13.89	17,250,000
Zack Wheeler	27	SP	Arb 1	$800,000	-	-	$800,000	$800,000	0.56	800,000
Steven Matz	26	SP	Pre-Arb	$562,250	-	-	$562,250	$562,250	0.39	562,250
Michael Conforto	24	CF	Pre-Arb	$554,904	-	-	$554,904	$554,904	0.39	554,904
T.J. Rivera	28	3B	Pre-Arb	$539,958	-	-	$539,958	$507,572	0.35	539,958
Neil Walker	31	2B	$14,200,000	-	-	$14,200,000	$14,200,000	9.86	14,200,000
Curtis Granderson	36	RF	$11,393,452	-	-	$11,393,452	$11,393,452	7.91	11,393,452
Jay Bruce	30	RF	$9,234,986	-	-	$9,234,986	$9,234,986	6.41	9,234,986
Addison Reed	28	RP	$5,081,950	-	-	$5,081,950	$5,081,950	3.53	5,081,950
Lucas Duda	31	1B	$4,595,661	-	-	$4,595,661	$4,595,661	3.19	4,595,661
Fernando Salas	32	RP	$3,000,000	-	-	$3,000,000	$3,000,000	2.08	3,000,000
Rene Rivera	33	C	$1,329,228	-	-	$1,329,228	$1,329,228	0.92	1,329,228
Josh Edgin	30	RP	$675,000	-	-	$675,000	$675,000	0.47	675,000
Jonathan Niese	30	RP	$500,000	-	-	$500,000	$500,000	0.35	-
Neil Ramirez	28	RP	$189,995	-	-	$189,995	$189,995	0.13	189,995
Sean Gilmartin	27	RP	$49,691	-	-	$49,691	$49,691	0.03	49,691
Ty Kelly	28	3B	$17,616	-	-	$17,616	$17,616	0.01	17,616
Adam Wilk	29	RP	$2,923	-	-	$2,923	$2,923	0.00	2,923
Tyler Pill 		27	P	$535,000	-	-	$535,000	$58,460	535,000
