C.C. Sabathia 	36	SP	Vet	$25,000,000	-	-	$25,000,000	$25,000,000	11.92	23,000,000
Masahiro Tanaka 	28	SP	Vet	$22,000,000	-	-	$22,000,000	$22,000,000	10.49	22,142,857
Jacoby Ellsbury 	33	CF	Vet	$21,142,857	-	-	$21,142,857	$21,142,857	10.08	21,857,143
Aroldis Chapman 	29	RP/CL	Vet	$15,000,000	$2,200,000	-	$17,200,000	$17,200,000	8.20	17,200,000
Chase Headley	33	3B	Vet	$13,000,000	-	$1,000,000	$14,000,000	$14,000,000	6.68	13,000,000
Matt Holliday	37	DH	Vet	$13,000,000	-	-	$13,000,000	$13,000,000	6.20	13,000,000
Brett Gardner	33	LF	Vet	$12,000,000	$500,000	-	$12,500,000	$12,500,000	5.96	13,000,000
Starlin Castro	27	2B	Vet	$9,000,000	$857,142	-	$9,857,142	$9,857,142	4.70	8,571,429
Didi Gregorius	27	SS	Arb 2	$5,100,000	-	-	$5,100,000	$5,100,000	2.43	5,100,000
Todd Frazier	31	3B	Arb 3	$12,000,000	-	-	$12,000,000	$4,983,624	2.38	12,000,000
David Robertson	32	RP	Vet	$12,000,000	-	-	$12,000,000	$4,983,624	2.38	11,500,000
Dellin Betances	29	RP	Arb 1	$3,000,000	-	-	$3,000,000	$3,000,000	1.43	3,000,000
Adam Warren	29	RP	Arb 2	$2,290,000	-	-	$2,290,000	$2,290,000	1.09	2,290,000
Aaron Hicks	27	RF	Arb 1	$1,350,000	-	-	$1,350,000	$1,350,000	0.64	1,350,000
Sonny Gray	27	SP	Arb 1	$3,575,000	-	-	$3,575,000	$1,230,768	0.59	3,575,000
Austin Romine	28	C	Arb 1	$805,000	-	-	$805,000	$805,000	0.38	805,000
Ronald Torreyes 	24	2B	Pre-Arb	$561,900	-	-	$561,900	$561,900	0.27	561,900
Gary Sanchez 	24	C	Pre-Arb	$557,900	-	-	$557,900	$557,900	0.27	557,900
Luis Severino 	23	SP	Pre-Arb	$550,975	-	-	$550,975	$550,975	0.26	550,975
Greg Bird 	24	1B	Pre-Arb	$545,500	-	-	$545,500	$545,500	0.26	545,500
Aaron Judge 	25	RF	Pre-Arb	$544,500	-	-	$544,500	$544,500	0.26	544,500
Chasen Shreve 	26	RP	Pre-Arb	$552,425	-	-	$552,425	$455,869	0.22	552,425
Jordan Montgomery 	24	SP	Pre-Arb	$535,000	-	-	$535,000	$435,527	0.21	535,000
Chad Green 	26	RP	Pre-Arb	$535,000	-	-	$535,000	$417,989	0.20	535,000
Jonathan Holder 	24	RP	Pre-Arb	$536,875	-	-	$536,875	$325,674	0.16	536,875
Bryan Mitchell 	26	SP	Pre-Arb	$550,625	-	-	$550,625	$273,819	0.13	550,625
Clint Frazier 	22	OF	Pre-Arb	$535,000	-	-	$535,000	$271,839	0.13	535,000
Tyler Wade 	22	1B	Pre-Arb	$535,000	-	-	$535,000	$236,763	0.11	535,000
Tommy Kahnle 	27	RP	Pre-Arb	$535,000	-	-	$535,000	$222,148	0.11	535,000
Jaime Garcia	30	SP	Vet	$12,000,000	-	-	$12,000,000	$187,072	0.09	6,875,000
Caleb Smith 	25	SP	Pre-Arb	$535,000	-	-	$535,000	$175,380	0.08	535,000
Giovanny Gallegos 	25	RP/CL	Pre-Arb	$535,000	-	-	$535,000	$172,457	0.08	535,000
Ben Heller 	25	P	Pre-Arb	$535,000	-	-	$535,000	$119,843	0.06	535,000
Domingo German 	24	RP	Pre-Arb	$535,000	-	-	$535,000	$102,305	0.05	535,000
Erik Kratz 	37	C		$535,000	-	-	$535,000	$93,536	0.04	535,000
Tyler Austin 	25	1B	Pre-Arb	$544,000	-	-	$544,000	$80,271	0.04	544,000
Miguel Andujar 	22	3B	Pre-Arb	$535,000	-	-	$535,000	$52,614	0.03	535,000
Michael Pineda	28	SP	Arb 3	$7,400,000	-	-	$7,400,000	$7,400,000	3.53	7,400,000
Luis Cessa	25	RP	Pre-Arb	$535,000	-	-	$535,000	$245,532	0.12	535,000
Garrett Cooper	26	1B	Pre-Arb	$535,000	-	-	$535,000	$222,148	0.11	535,000
Alex Rodriguez	42	DH	$20,000,000	$1,000,000	-	$21,000,000	$21,000,000	10.01	20,000,000
Brian McCann	33	C	$5,500,000	-	-	$5,500,000	$5,500,000	2.62	5,500,000
Tyler Clippard	32	RP	$4,426,472	-	-	$4,426,472	$4,426,472	2.11	4,426,472
Chris Carter	30	1B	$3,000,000	$500,000	-	$3,500,000	$3,500,000	1.67	3,500,000
Tom Layne	32	RP	$1,075,000	-	-	$1,075,000	$1,075,000	0.51	1,075,000
Dustin Fowler	22	CF	$277,685	-	-	$277,685	$277,685	0.13	277,685
Rob Refsnyder	26	2B	$254,301	-	-	$254,301	$254,301	0.12	254,301
Pete Kozma	29	SS	$81,692	-	-	$81,692	$81,692	0.04	81,692
Tyler Webb	26	P	$55,537	-	-	$55,537	$55,537	0.03	55,537
Ji-Man Choi 		26	1B	$700,000	-	-	$700,000	$700,000	700,000
Ronald Herrera 		22	RP	$535,000	-	-	$535,000	$14,615	535,000
Kyle Higashioka 		27	C	$535,000	-	-	$535,000	$81,844	535,000
Mason Williams 		25	CF	$535,000	-	-	$535,000	$29,230	535,000
